iter	RMSE
0	6287.725897
1	6100.242166
2	5908.793599
3	5754.506914
4	5574.553836
5	5446.063723
6	5279.63537
7	5134.774369
8	4992.511159
9	4874.831466
10	4743.270869
11	4614.17631212	4577.729799
13	4469.991126
14	4343.002107
15	4215.593396
16	4108.223598
17	4007.865913
18	3904.977659
19	3812.149769
20	3710.371937
21	3620.38567
22	3532.307823
23	3447.422853
24	3386.225118
25	3305.28068
26	3232.946743
27	3172.678369
28	3097.38713
29	3020.811186
30	2954.241301
31	2893.507758
32	2831.338396
33	2780.587272
34	2705.706752
35	2646.026649
36	2596.778777
37	2536.071186
38	2487.265091
39	2439.555718
40	2379.781368
41	2336.122204
42	2299.264855
43	2254.282423
44	2207.279161
45	2167.586723446	2120.186242447	2089.48826
48	2044.721766
49	2006.928102
50	1969.852654
51	1931.004752
52	1896.529153
53	1861.32641
54	1847.17012
55	1824.617832
56	1798.470937
57	1777.64534
58	1751.801133
59	1722.74962
60	1693.062348
61	1674.548478
62	1651.344192
63	1627.403121
64	1610.158827
65	1592.753661
66	1562.36126
67	1538.706318
68	1512.951215
69	1486.046953
70	1465.573316
71	1450.958237
72	1440.114177
73	1418.487451
74	1405.422246
75	1382.573924
76	1360.268677
77	1343.321634
78	1333.627086
79	1042.677971
80	1307.891198
81	1011.329407
82	995.5037639
83	981.7901003
84	1237.275235
85	1221.513128886	1209.62467687	931.0587481888	921.2619998889	911.9914706990	899.4525214991	887.0924839292	878.4349229393	866.92187894	1116.319287
95	1106.345966
996	840.1051961997	830.014179198	1063.427956
999	813.839371
100	808.00994101101	800.68508102102	794.56775103	1012.399363
104	1000.459498
105	994.209539
106	106	758.4753107	107	751.0176108	108	743.1461109	109	734.4519354
110	724.6383611
111	714.9663844
112	706.0969627
113	699.7148603
114	693.4732008
115	687.9243033
116	683.3801733
117	676.82592
118	672.871914
119	665.5701581
120	660.4994835
121	654.670826
122	649.8697648
123	645.2268696
124	640.4676079
125	634.9345734
126	630.9070515
127	624.3988395
128	620.380448
129	617.0132892
130	612.5891969
131	605.7394304
132	601.3582941
133	594.1887962
134	590.7372162
135	583.4625446
136	576.5853203
137	571.220794
138	566.8845848
139	563.3311099
140	556.5647218
141	552.8657928
142	549.0029556
143	544.7730017
144	541.7960996
145	538.7203687
146	535.2620852
147	532.1885064
148	529.1187509
149	525.4684117
150	517.7446138
151	514.8723762
152	507.5623303
153	504.975467
154	501.6392766
155	495.0164672
156	492.1847307
157	489.7316556
158	487.0151395
159	484.1725959
160	481.6787491
161	479.3978095
162	474.5268942
163	472.0121221
164	466.600322
165	463.3862471
166	457.0710121
167	454.1452705
168	452.0646821
169	445.944485
170	443.4691671
171	441.5442081
172	439.3844408
173	433.7318789
174	431.6376914
175	427.1359708
176	424.3612743
177	422.4690872
178	416.809601
179	414.4745695
180	412.7916058
181	411.151098
182	409.5512088
183	405.0763441
184	403.3241564
185	399.1903077
186	395.1080283
187	393.4418077
188	391.9961568
189	388.0425697
190	386.635477
191	385.071612
192	382.5549939
193	381.2397781
194	377.3451034
195	373.7887866
196	372.3370259
197	370.8775783
198	369.3779744
199	368.1252277
311276
428
