iter	Passed	Remaining
0	148	29619
1	154	15312
2	161	10623
3	167	8214
4	173	6767
5	179	5803
6	185	5115
7	194	4669
8	199	4224
9	203	3863
10	207	3573
11	210	3305
12	215	3093
13	221	2936
14	226	2794
15	233	2686
16	237	2560
17	242	2456
18	248	2366
19	253	2278
20	261	2225
21	266	2157
22	273	2101
23	278	2039
24	283	1987
25	289	1938
26	295	1894
27	301	1849
28	307	1811
29	312	1768
30	317	1729
31	324	1702
32	329	1668
33	336	1641
34	342	1615
35	347	1583
36	354	1562
37	361	1541
38	367	1517
39	374	1497
40	381	1477
41	396	1490
42	406	1483
43	411	1457
44	418	1441
45	424	1422
46	430	1401
47	439	1390
48	444	1368
49	450	1350
50	456	1334
51	461	1313
52	468	1299
53	474	1283
54	476	1257
55	483	1242
56	487	1224
57	495	1213
58	501	1198
59	509	1189
60	515	1175
61	521	1161
62	532	1157
63	538	1143
64	547	1136
65	551	1120
66	557	1106
67	563	1093
68	568	1078
69	576	1069
70	577	1049
71	582	1034
72	586	1019
73	593	1009
74	596	994
75	602	982
76	608	971
77	614	960
78	616	944
779	626	94080	625	919
881	637	917882	642	905883	649	89684	645	873
85	651	863
86	657	853
887	668	850888	673	839889	680	831990	686	822991	691	811992	701	806993	705	79594	703	777
95	708	767
996	723	768997	731	76198	726	741
999	741	7411100	748	7331101	754	7241102	760	715103	757	699
104	763	690
105	765	679
1106	780	6781107	787	6701108	793	6621109	799	654
110	805	645
111	812	638
112	819	631
113	828	624
114	834	616
115	839	607
116	868	616
117	874	607
118	880	599
119	886	590
120	894	583
121	911	582
122	917	574
123	924	566
124	930	558
125	937	550
126	957	550
127	963	541
128	969	533
129	976	525
130	982	517
131	1003	516
132	1009	508
133	1016	500
134	1023	492
135	1029	484
136	1048	482
137	1054	473
138	1061	465
139	1066	457
140	1073	449
141	1084	442
142	1093	435
143	1101	428
144	1110	421
145	1118	413
146	1135	409
147	1142	401
148	1151	394
149	1158	386
150	1164	377
151	1177	371
152	1191	365
153	1197	357
154	1204	349
155	1210	341
156	1217	333
157	1225	325
158	1231	317
159	1237	309
160	1243	301
161	1250	293
162	1256	285
163	1262	277
164	1270	269
165	1277	261
166	1285	253
167	1289	245
168	1294	237
169	1300	229
170	1307	221
171	1313	213
172	1319	205
173	1326	198
174	1336	190
175	1343	183
176	1351	175
177	1357	167
178	1361	159
179	1367	151
180	1371	143
181	1375	136
182	1381	128
183	1386	120
184	1392	112
185	1398	105
186	1404	97
187	1411	90
188	1415	82
189	1420	74
190	1423	67
191	1427	59
192	1430	51
193	1433	44
194	1437	36
195	1440	29
196	1444	22
197	1448	14
198	1451	7
199	1454	0
